Entity;Code;Year;Sustainable Development Goals (SDG) Regions
Afghanistan;AFG;2024;Central Asia
Aland Islands;ALA;2024;Europe
Albania;ALB;2024;Europe
Algeria;DZA;2024;Northern Africa
American Samoa;ASM;2024;Oceania
Andorra;AND;2024;Europe
Angola;AGO;2024;Sub-Saharan Africa
Anguilla;AIA;2024;Central America
Antigua and Barbuda;ATG;2024;Central America
Argentina;ARG;2024;South America
Armenia;ARM;2024;Middle East
Aruba;ABW;2024;Central America
Australia;AUS;2024;Oceania
Austria;AUT;2024;Europe
Azerbaijan;AZE;2024;Middle East
Bahamas;BHS;2024;Central America
Bahrain;BHR;2024;Middle East
Bangladesh;BGD;2024;South Asia
Barbados;BRB;2024;Central America
Belarus;BLR;2024;Eastern Europe
Belgium;BEL;2024;Europe
Belize;BLZ;2024;Central America
Benin;BEN;2024;Sub-Saharan Africa
Bermuda;BMU;2024;North America
Bhutan;BTN;2024;South Asia
Bolivia;BOL;2024;South America
Bonaire Sint Eustatius and Saba;BES;2024;Central America
Bosnia and Herzegovina;BIH;2024;Europe
Botswana;BWA;2024;Sub-Saharan Africa
Bouvet Island;BVT;2024;Central America
Brazil;BRA;2024;South America
British Indian Ocean Territory;IOT;2024;Sub-Saharan Africa
British Virgin Islands;VGB;2024;Central America
Brunei;BRN;2024;South-Eastern Asia
Bulgaria;BGR;2024;Eastern Europe
Burkina Faso;BFA;2024;Sub-Saharan Africa
Burundi;BDI;2024;Sub-Saharan Africa
Cambodia;KHM;2024;South-Eastern Asia
Cameroon;CMR;2024;Sub-Saharan Africa
Canada;CAN;2024;North America
Cape Verde;CPV;2024;Sub-Saharan Africa
Cayman Islands;CYM;2024;Central America
Central African Republic;CAF;2024;Sub-Saharan Africa
Chad;TCD;2024;Sub-Saharan Africa
Chile;CHL;2024;South America
China;CHN;2024;East Asia
Christmas Island;CXR;2024;Oceania
Cocos Islands;CCK;2024;Oceania
Colombia;COL;2024;South America
Comoros;COM;2024;Sub-Saharan Africa
Congo;COG;2024;Sub-Saharan Africa
Cook Islands;COK;2024;Oceania
Costa Rica;CRI;2024;Central America
Cote d'Ivoire;CIV;2024;Sub-Saharan Africa
Croatia;HRV;2024;Europe
Cuba;CUB;2024;Central America
Curacao;CUW;2024;Central America
Cyprus;CYP;2024;Middle East
Czechia;CZE;2024;Eastern Europe
Democratic Republic of Congo;COD;2024;Sub-Saharan Africa
Denmark;DNK;2024;Europe
Djibouti;DJI;2024;Sub-Saharan Africa
Dominica;DMA;2024;Central America
Dominican Republic;DOM;2024;Central America
East Timor;TLS;2024;South-Eastern Asia
Ecuador;ECU;2024;South America
Egypt;EGY;2024;Northern Africa
El Salvador;SLV;2024;South America
Equatorial Guinea;GNQ;2024;Sub-Saharan Africa
Eritrea;ERI;2024;Sub-Saharan Africa
Estonia;EST;2024;Eastern Europe
Eswatini;SWZ;2024;Sub-Saharan Africa
Ethiopia;ETH;2024;Sub-Saharan Africa
Falkland Islands;FLK;2024;South America
Faroe Islands;FRO;2024;Europe
Fiji;FJI;2024;Oceania
Finland;FIN;2024;Europe
France;FRA;2024;Europe
French Guiana;GUF;2024;Central America
French Polynesia;PYF;2024;Oceania
French Southern Territories;ATF;2024;Sub-Saharan Africa
Gabon;GAB;2024;Sub-Saharan Africa
Gambia;GMB;2024;Sub-Saharan Africa
Georgia;GEO;2024;Middle East
Germany;DEU;2024;Europe
Ghana;GHA;2024;Sub-Saharan Africa
Gibraltar;GIB;2024;Europe
Greece;GRC;2024;Europe
Greenland;GRL;2024;Europe
Grenada;GRD;2024;Central America
Guadeloupe;GLP;2024;Central America
Guam;GUM;2024;Oceania
Guatemala;GTM;2024;Central America
Guernsey;GGY;2024;Europe
Guinea;GIN;2024;Sub-Saharan Africa
Guinea-Bissau;GNB;2024;Sub-Saharan Africa
Guyana;GUY;2024;Central America
Haiti;HTI;2024;Central America
Heard Island and McDonald Islands;HMD;2024;Oceania
Honduras;HND;2024;Central America
Hong Kong;HKG;2024;East Asia
Hungary;HUN;2024;Eastern Europe
Iceland;ISL;2024;Europe
India;IND;2024;South Asia
Indonesia;IDN;2024;South-Eastern Asia
Iran;IRN;2024;Middle East
Iraq;IRQ;2024;Middle East
Ireland;IRL;2024;Europe
Isle of Man;IMN;2024;Europe
Israel;ISR;2024;Middle East
Italy;ITA;2024;Europe
Jamaica;JAM;2024;Central America
Japan;JPN;2024;East Asia
Jersey;JEY;2024;Europe
Jordan;JOR;2024;Middle East
Kazakhstan;KAZ;2024;Central Asia
Kenya;KEN;2024;Sub-Saharan Africa
Kiribati;KIR;2024;Oceania
Kuwait;KWT;2024;Middle East
Kyrgyzstan;KGZ;2024;Central Asia
Laos;LAO;2024;South-Eastern Asia
Latvia;LVA;2024;Eastern Europe
Lebanon;LBN;2024;Middle East
Lesotho;LSO;2024;Sub-Saharan Africa
Liberia;LBR;2024;Sub-Saharan Africa
Libya;LBY;2024;Northern Africa
Liechtenstein;LIE;2024;Europe
Lithuania;LTU;2024;Eastern Europe
Luxembourg;LUX;2024;Europe
Macao;MAC;2024;East Asia
Madagascar;MDG;2024;Sub-Saharan Africa
Malawi;MWI;2024;Sub-Saharan Africa
Malaysia;MYS;2024;South-Eastern Asia
Maldives;MDV;2024;South Asia
Mali;MLI;2024;Sub-Saharan Africa
Malta;MLT;2024;Europe
Marshall Islands;MHL;2024;Oceania
Martinique;MTQ;2024;Central America
Mauritania;MRT;2024;Sub-Saharan Africa
Mauritius;MUS;2024;Sub-Saharan Africa
Mayotte;MYT;2024;Sub-Saharan Africa
Mexico;MEX;2024;Central America
Micronesia (country);FSM;2024;Oceania
Moldova;MDA;2024;Eastern Europe
Monaco;MCO;2024;Europe
Mongolia;MNG;2024;East Asia
Montenegro;MNE;2024;Europe
Montserrat;MSR;2024;Central America
Morocco;MAR;2024;Northern Africa
Mozambique;MOZ;2024;Sub-Saharan Africa
Myanmar;MMR;2024;South-Eastern Asia
Namibia;NAM;2024;Sub-Saharan Africa
Nauru;NRU;2024;Oceania
Nepal;NPL;2024;South Asia
Netherlands;NLD;2024;Europe
New Caledonia;NCL;2024;Oceania
New Zealand;NZL;2024;Oceania
Nicaragua;NIC;2024;Central America
Niger;NER;2024;Sub-Saharan Africa
Nigeria;NGA;2024;Sub-Saharan Africa
Niue;NIU;2024;Oceania
Norfolk Island;NFK;2024;Oceania
North Korea;PRK;2024;East Asia
North Macedonia;MKD;2024;Europe
Northern Mariana Islands;MNP;2024;Oceania
Norway;NOR;2024;Europe
Oman;OMN;2024;Middle East
Pakistan;PAK;2024;South Asia
Palau;PLW;2024;Oceania
Palestine;PSE;2024;Middle East
Panama;PAN;2024;Central America
Papua New Guinea;PNG;2024;Oceania
Paraguay;PRY;2024;South America
Peru;PER;2024;South America
Philippines;PHL;2024;South-Eastern Asia
Pitcairn;PCN;2024;Oceania
Poland;POL;2024;Europe
Portugal;PRT;2024;Europe
Puerto Rico;PRI;2024;Central America
Qatar;QAT;2024;Middle East
Reunion;REU;2024;Sub-Saharan Africa
Romania;ROU;2024;Europe
Russia;RUS;2024;Eastern Europe
Rwanda;RWA;2024;Sub-Saharan Africa
Saint Barthelemy;BLM;2024;Central America
Saint Helena;SHN;2024;Sub-Saharan Africa
Saint Kitts and Nevis;KNA;2024;Central America
Saint Lucia;LCA;2024;Central America
Saint Martin (French part);MAF;2024;Central America
Saint Pierre and Miquelon;SPM;2024;Europe
Saint Vincent and the Grenadines;VCT;2024;Central America
Samoa;WSM;2024;Oceania
San Marino;SMR;2024;Europe
Sao Tome and Principe;STP;2024;Sub-Saharan Africa
Saudi Arabia;SAU;2024;Middle East
Senegal;SEN;2024;Sub-Saharan Africa
Serbia;SRB;2024;Europe
Seychelles;SYC;2024;Sub-Saharan Africa
Sierra Leone;SLE;2024;Sub-Saharan Africa
Singapore;SGP;2024;East Asia
Sint Maarten (Dutch part);SXM;2024;Central America
Slovakia;SVK;2024;Eastern Europe
Slovenia;SVN;2024;Europe
Solomon Islands;SLB;2024;Oceania
Somalia;SOM;2024;Sub-Saharan Africa
South Africa;ZAF;2024;Sub-Saharan Africa
South Georgia and the South Sandwich Islands;SGS;2024;Central America
South Korea;KOR;2024;East Asia
South Sudan;SSD;2024;Sub-Saharan Africa
Spain;ESP;2024;Europe
Sri Lanka;LKA;2024;South Asia
Sudan;SDN;2024;Northern Africa
Suriname;SUR;2024;Central America
Svalbard and Jan Mayen;SJM;2024;Europe
Sweden;SWE;2024;Europe
Switzerland;CHE;2024;Europe
Syria;SYR;2024;Middle East
Tajikistan;TJK;2024;Central Asia
Tanzania;TZA;2024;Sub-Saharan Africa
Thailand;THA;2024;South-Eastern Asia
Togo;TGO;2024;Sub-Saharan Africa
Tokelau;TKL;2024;Oceania
Tonga;TON;2024;Oceania
Trinidad and Tobago;TTO;2024;Central America
Tunisia;TUN;2024;Northern Africa
Turkey;TUR;2024;Middle East
Turkmenistan;TKM;2024;Central Asia
Turks and Caicos Islands;TCA;2024;Central America
Tuvalu;TUV;2024;Oceania
Uganda;UGA;2024;Sub-Saharan Africa
Ukraine;UKR;2024;Eastern Europe
United Arab Emirates;ARE;2024;Middle East
United Kingdom;GBR;2024;Europe
United States;USA;2024;North America
United States Minor Outlying Islands;UMI;2024;Oceania
United States Virgin Islands;VIR;2024;Central America
Uruguay;URY;2024;South America
Uzbekistan;UZB;2024;Central Asia
Vanuatu;VUT;2024;Oceania
Vatican;VAT;2024;Europe
Venezuela;VEN;2024;South America
Vietnam;VNM;2024;South-Eastern Asia
Wallis and Futuna;WLF;2024;Oceania
Western Sahara;ESH;2024;Northern Africa
Yemen;YEM;2024;Middle East
Zambia;ZMB;2024;Sub-Saharan Africa
Zimbabwe;ZWE;2024;Sub-Saharan Africa